run_subdir,scenario_subdir,sample_interval_min,interpolation_method,tolerance_km,method,codebook_size,num_points,predictability,entropy_rate_bits,reconstruction_rmse_km,actual_distortion_km,num_users,scenario_label,experiment_label
sf_run_1980198_task_2,tol_2p5km_int_30min,30,nearest,2.5,direct_ctw,,61078.0,0.8571111035224479,1.0884054880848102,1.030943456171868,0.964563112310286,429,"30 min
2.5 km","30 min
2.5 km
nearest"
sf_run_1980198_task_2,tol_2p5km_int_30min,30,nearest,2.5,markov_order_1,,61078.0,0.47871001888884285,2.822131811328328,1.030943456171868,0.964563112310286,429,"30 min
2.5 km","30 min
2.5 km
nearest"
sf_run_1980198_task_2,tol_2p5km_int_30min,30,nearest,2.5,markov_order_2,,61078.0,0.502421718755022,2.7427712616511095,1.030943456171868,0.964563112310286,429,"30 min
2.5 km","30 min
2.5 km
nearest"
sf_run_1980198_task_2,tol_2p5km_int_30min,30,nearest,2.5,vq_ctw,256.0,61078.0,0.8711409926444331,1.0364422071444483,2.820426994058161,2.820426994058161,429,"30 min
2.5 km","30 min
2.5 km
nearest"
sf_run_1980198_task_2,tol_2p5km_int_30min,30,nearest,2.5,vq_ctw,512.0,61078.0,0.8702958775937213,1.0319623010846766,2.5863252909887255,2.5863252909887255,429,"30 min
2.5 km","30 min
2.5 km
nearest"
sf_run_1980198_task_2,tol_2p5km_int_30min,30,nearest,2.5,vq_ctw,1024.0,61078.0,0.863892913197149,1.0455770520505332,2.6314622209552607,2.6314622209552607,429,"30 min
2.5 km","30 min
2.5 km
nearest"
sf_run_1980198_task_5,tol_5km_int_30min,30,linear,5.0,direct_ctw,,503760.0,0.8424521663547219,1.34978091504963,1.801741737700979,1.6398532103030012,531,"30 min
5 km","30 min
5 km
linear"
sf_run_1980198_task_5,tol_5km_int_30min,30,linear,5.0,markov_order_1,,503760.0,0.758058136607704,1.909429185582402,1.801741737700979,1.6398532103030012,531,"30 min
5 km","30 min
5 km
linear"
sf_run_1980198_task_5,tol_5km_int_30min,30,linear,5.0,markov_order_2,,503760.0,0.7276681804792912,2.096603731698172,1.801741737700979,1.6398532103030012,531,"30 min
5 km","30 min
5 km
linear"
sf_run_1980198_task_5,tol_5km_int_30min,30,linear,5.0,vq_ctw,256.0,503760.0,0.9866154824147456,0.12583110516816745,4.708460180536412,4.708460180536412,531,"30 min
5 km","30 min
5 km
linear"
sf_run_1980198_task_5,tol_5km_int_30min,30,linear,5.0,vq_ctw,512.0,503760.0,0.9821526709873363,0.16437906063761157,4.752321951979707,4.752321951979707,531,"30 min
5 km","30 min
5 km
linear"
sf_run_1980198_task_5,tol_5km_int_30min,30,linear,5.0,vq_ctw,1024.0,503760.0,0.9836946433437284,0.1490562726321512,4.678248191846969,4.678248191846969,531,"30 min
5 km","30 min
5 km
linear"
sf_run_1980198_task_5,tol_5km_int_30min,30,nearest,5.0,direct_ctw,,61078.0,0.8333307659475215,1.0363090021161572,1.7745933082959746,1.5964698831491466,429,"30 min
5 km","30 min
5 km
nearest"
sf_run_1980198_task_5,tol_5km_int_30min,30,nearest,5.0,markov_order_1,,61078.0,0.6524715880034656,1.7490203557996578,1.7745933082959746,1.5964698831491466,429,"30 min
5 km","30 min
5 km
nearest"
